latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
19.60118,-71.01389,323.9,0.4,0.44,2020-09-26,0554,1,nominal,2.0NRT,292.9,3,N
19.52833,-70.73214,306,0.38,0.43,2020-09-26,0554,1,nominal,2.0NRT,291.6,1.2,N
18.92856,-70.35446,338.2,0.54,0.42,2020-09-26,0554,1,nominal,2.0NRT,294.6,25.9,N
18.00744,-66.65473,304.2,0.39,0.36,2020-09-26,0554,1,nominal,2.0NRT,291.9,0.4,N
48.18973,-64.92108,298.2,0.41,0.45,2020-09-26,0548,1,nominal,2.0NRT,277.2,1.2,N
46.04323,-73.14495,304.5,0.48,0.65,2020-09-26,0548,1,nominal,2.0NRT,274.4,1.2,N
45.83863,-73.25222,303.4,0.49,0.65,2020-09-26,0548,1,nominal,2.0NRT,270,1.5,N
45.83727,-73.25132,298.8,0.49,0.65,2020-09-26,0548,1,nominal,2.0NRT,269.7,1.5,N
45.11076,-73.01475,298.3,0.47,0.64,2020-09-26,0548,1,nominal,2.0NRT,282.9,0.8,N
40.89677,-77.71271,297.8,0.78,0.78,2020-09-26,0548,1,nominal,2.0NRT,282.3,1.3,N
40.89524,-77.71753,307.8,0.78,0.78,2020-09-26,0548,1,nominal,2.0NRT,282.6,2.5,N
36.965,-86.5085,297.6,0.38,0.36,2020-09-26,0736,1,nominal,2.0NRT,287.1,0.2,N
37.19965,-97.49023,320.4,0.37,0.58,2020-09-26,0736,1,nominal,2.0NRT,289.9,1.5,N
35.72271,-86.65015,300,0.38,0.36,2020-09-26,0736,1,nominal,2.0NRT,288.2,0.4,N
36.66231,-97.07236,309.7,0.34,0.56,2020-09-26,0736,1,nominal,2.0NRT,291.4,0.8,N
36.33791,-93.2898,296.1,0.42,0.45,2020-09-26,0736,1,nominal,2.0NRT,285.2,0.6,N
36.52074,-97.84069,317,0.38,0.59,2020-09-26,0736,1,nominal,2.0NRT,292.1,1.8,N
36.19762,-94.45761,298.6,0.49,0.48,2020-09-26,0736,1,nominal,2.0NRT,287.1,0.6,N
34.23896,-84.79661,304.1,0.41,0.37,2020-09-26,0736,1,nominal,2.0NRT,289.3,1.4,N
33.01368,-79.88509,338.7,0.47,0.48,2020-09-26,0736,1,nominal,2.0NRT,290.9,6,N
